candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,theoretical_max_nodes,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
rf__trees200__depth10__leaf10__features0p5,200,10,10,0.5,0.8,409400,0.42920950466669033,686.932834899053,0.7097966728280961,0.5761540463068813,0.5784283069531511,0.8026521060842434,0.36070381231671556,0.8251804330392943,0.3271276595744681,0.6192372331894419,0.3167426544385529,1029,218,253,123
rf__trees150__depth10__leaf10__features0p5,150,10,10,0.5,0.8,307050,0.4283943972483081,686.932834899053,0.7091805298829328,0.5757530839973384,0.5779547618208103,0.8024980483996877,0.35964912280701755,0.8243785084202085,0.3271276595744681,0.6144320838096539,0.31375591185146534,1028,219,253,123
rf__trees200__depth8__leaf10__features0p5,200,8,10,0.5,0.8,102200,0.4416693128243169,686.932834899053,0.6839186691312384,0.5825342524185705,0.577689544126322,0.8084033613445378,0.3418013856812933,0.7714514835605453,0.39361702127659576,0.6140183248306574,0.30946600918530764,962,285,228,148
rf__trees150__depth4__leaf15__features0p5,150,4,15,0.5,0.8,4650,0.5002214027662691,686.932834899053,0.7024029574861368,0.5769154481393642,0.5776818831971684,0.8036565977742448,0.35342465753424657,0.8107457898957497,0.34308510638297873,0.6078588612670409,0.312624638565642,1011,236,247,129
rf__trees150__depth6__leaf15__features0p5,150,6,15,0.5,0.8,19050,0.48301274049994114,686.932834899053,0.7165742452248922,0.5740628572403556,0.5775752418285269,0.801071155317521,0.3670886075949367,0.8396150761828388,0.30851063829787234,0.6093155488064974,0.31299421814851736,1047,200,260,116
rf__trees200__depth4__leaf10__features0p5,200,4,10,0.5,0.8,6200,0.4971199520943287,686.932834899053,0.6999383857054837,0.5771692487501919,0.5773828460641421,0.804,0.3512064343163539,0.805934242181235,0.3484042553191489,0.612544575065263,0.31237263831427137,1005,242,245,131
rf__trees300__depth10__leaf15__features0p5,300,10,15,0.5,0.8,614100,0.4323465250634019,686.932834899053,0.6814540973505854,0.5827880530293983,0.577176135163994,0.8087986463620981,0.3401360544217687,0.7666399358460305,0.39893617021276595,0.615588049616953,0.32011889452449094,956,291,226,150
rf__trees200__depth6__leaf10__features0p5,200,6,10,0.5,0.8,25400,0.4696973662733348,686.932834899053,0.6857670979667283,0.5809506645737003,0.5769981602616516,0.8073394495412844,0.3419811320754717,0.7762630312750601,0.38563829787234044,0.616468887031002,0.3135679992414524,968,279,231,145
rf__trees200__depth8__leaf10__featuressqrt,200,8,10,sqrt,0.8,102200,0.44728508194389227,686.932834899053,0.6802218114602587,0.582914953334812,0.5769117370066678,0.8089983022071308,0.3393258426966292,0.764234161988773,0.4015957446808511,0.6088292753672644,0.30664772423768494,953,294,225,151
rf__trees200__depth8__leaf5__featuressqrt,200,8,5,sqrt,0.8,102200,0.4381379776572132,686.932834899053,0.6913123844731978,0.5789863758125885,0.5768935572145387,0.8057377049180328,0.34491315136476425,0.7882919005613472,0.3696808510638298,0.6093134160282551,0.32199038108149663,983,264,237,139
