n_components,explained_variance_ratio,cumulative_explained_variance_ratio
535,2.211084461804376e-05,0.9957634687144931
536,2.1988487666039078e-05,0.995785457202159
537,2.1850426815357518e-05,0.9958073076289744
538,2.173955212641868e-05,0.9958290471811008
539,2.1564765474131064e-05,0.9958506119465749
540,2.1537799995124084e-05,0.99587214974657
541,2.1484101657939028e-05,0.9958936338482279
542,2.135440274744841e-05,0.9959149882509754
543,2.1235146575962504e-05,0.9959362233975513
544,2.109753962965901e-05,0.9959573209371809
545,2.104902942362227e-05,0.9959783699666045
546,2.0848236783496555e-05,0.995999218203388
547,2.0697141947977507e-05,0.996019915345336
548,2.06362663249621e-05,0.9960405516116609
549,2.0538268498965004e-05,0.99606108988016
550,2.0468330906033658e-05,0.996081558211066
551,2.0440994780400765e-05,0.9961019992058464
552,2.024747536881309e-05,0.9961222466812152
553,2.0188071783907717e-05,0.9961424347529991
554,2.0084165698116726e-05,0.9961625189186972
555,1.998254950692861e-05,0.9961825014682042
556,1.982087950142717e-05,0.9962023223477057
557,1.9643090936755537e-05,0.9962219654386424
558,1.946848904207631e-05,0.9962414339276845
559,1.9397125762936456e-05,0.9962608310534474
560,1.9354661134097583e-05,0.9962801857145815
561,1.928676734217496e-05,0.9962994724819237
562,1.9132120359365533e-05,0.996318604602283
563,1.9087275784984956e-05,0.9963376918780681
564,1.904740809640589e-05,0.9963567392861645
565,1.88195683655907e-05,0.9963755588545301
566,1.8730781603158824e-05,0.9963942896361333
567,1.8674888846363717e-05,0.9964129645249796
568,1.8599743908571902e-05,0.9964315642688882
569,1.8496311997983703e-05,0.9964500605808863
570,1.846893171020435e-05,0.9964685295125965
571,1.8406537055460287e-05,0.9964869360496519
572,1.8270308508852572e-05,0.9965052063581608
573,1.8132790824153994e-05,0.9965233391489849
574,1.812083360267394e-05,0.9965414599825876
575,1.7954549441779747e-05,0.9965594145320293
576,1.780444310174043e-05,0.9965772189751311
577,1.777364752407466e-05,0.9965949926226552
578,1.7673767024043152e-05,0.9966126663896792
579,1.760020934791642e-05,0.9966302665990271
580,1.756506613306384e-05,0.9966478316651601
581,1.7404964859128495e-05,0.9966652366300193
582,1.7316703040521617e-05,0.9966825533330598
583,1.7253417804685948e-05,0.9966998067508644
584,1.719205497050594e-05,0.996716998805835
585,1.7163957450636984e-05,0.9967341627632856
586,1.6990792940421286e-05,0.996751153556226
587,1.687494221762505e-05,0.9967680284984436
588,1.68396553360823e-05,0.9967848681537796
589,1.6706850944356688e-05,0.996801575004724
590,1.6654077610766565e-05,0.9968182290823348
591,1.659869313984015e-05,0.9968348277754746
592,1.6542920267646082e-05,0.9968513706957423
593,1.6426606304800933e-05,0.9968677973020471
594,1.628906980117084e-05,0.9968840863718483
595,1.6188400525260512e-05,0.9969002747723736
596,1.6128210110641192e-05,0.9969164029824843
597,1.601685909083727e-05,0.9969324198415751
598,1.5951498667296777e-05,0.9969483713402424
599,1.588027167374953e-05,0.9969642516119162
600,1.577145784373011e-05,0.9969800230697599
601,1.5701424853991978e-05,0.9969957244946138
602,1.5617283778953315e-05,0.9970113417783928
603,1.5574529336313162e-05,0.9970269163077291
604,1.546037869674768e-05,0.9970423766864258
605,1.5432723719395723e-05,0.9970578094101452
606,1.535629592399282e-05,0.9970731657060692
607,1.5258059837274589e-05,0.9970884237659065
608,1.5203268796927589e-05,0.9971036270347033
609,1.5096858973929204e-05,0.9971187238936773
610,1.5016468267540068e-05,0.9971337403619448
611,1.4916312611274541e-05,0.9971486566745561
612,1.4874133506707316e-05,0.9971635308080629
613,1.4744273425688917e-05,0.9971782750814886
614,1.4726503576883627e-05,0.9971930015850655
615,1.4559507989306569e-05,0.9972075610930549
616,1.450169038871739e-05,0.9972220627834436
617,1.448355136578943e-05,0.9972365463348094
618,1.4338865803070772e-05,0.9972508852006124
619,1.428582744279308e-05,0.9972651710280552
620,1.4257071606405952e-05,0.9972794280996616
621,1.4137595932371369e-05,0.997293565695594
622,1.4076035792696425e-05,0.9973076417313868
623,1.4004256084135856e-05,0.9973216459874709
624,1.397217888139027e-05,0.9973356181663523
625,1.3951892921924405e-05,0.9973495700592743
626,1.3826785002596805e-05,0.9973633968442769
627,1.3728431023028907e-05,0.9973771252752999
628,1.3697746104481894e-05,0.9973908230214044
629,1.3584178056539587e-05,0.9974044071994609
630,1.3534796803805216e-05,0.9974179419962647
631,1.3479022514504996e-05,0.9974314210187791
632,1.343149216155974e-05,0.9974448525109407
633,1.3302096246410617e-05,0.9974581546071871
634,1.3227100705601482e-05,0.9974713817078927
635,1.315026724478815e-05,0.9974845319751375
636,1.3127330507320627e-05,0.9974976593056448
637,1.3068508036170965e-05,0.997510727813681
638,1.3007383310443623e-05,0.9975237351969914
639,1.2975412122072424e-05,0.9975367106091135
640,1.288100952107026e-05,0.9975495916186345
641,1.2831425252100841e-05,0.9975624230438866
642,1.279428180061149e-05,0.9975752173256872
